date,debit_inn,credit_inn,amount,purpose,purpose_risk_score,debit_score,credit_score,txn_risk_score,txn_anomaly_flag
2021-07-06,8d9e0be733f77f1c,d877722ca4e40f98,100000000.0,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 45997949 от date_f71bf3d6bd61. ндс нет.,0.0,0.5725082151697858,0.9999980058502028,0.7999986040924276,1
2021-07-06,d877722ca4e40f98,8d9e0be733f77f1c,100000000.0,формирование покрытия по внутрироссийскому аккредитиву № 8824s2107000h на основании заявления № 4 от 06.07.2021г,0.0,0.9999980058502028,0.5725082151697858,0.7999986040924276,1
2021-07-09,d877722ca4e40f98,6931e23e98703aa9,69500000.0,"окончательная оплата по счету №9 от date_aaac92e3774d, согласно договора подряда №3-тор от 19.05.17г сумма 69500000-00 в т.ч. ндс (20%) 11583333-00",0.0,0.9999980058502028,0.5165910835264188,0.7989877749328739,1
2021-07-09,8d9e0be733f77f1c,d877722ca4e40f98,71900696.0,"частичный возврат суммы покрытия по аккредитиву № 8824s2107000h от 07,07,2021 в связи с изменением суммы аккредитива на основании заявления № 5 от 09,07,2021",0.0,0.5725082151697858,0.9999980058502028,0.7988789706968173,1
2021-07-08,8d9e0be733f77f1c,d877722ca4e40f98,68060174.0,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 46070607 от date_cddc49f67133. ндс нет.,0.0,0.5725082151697858,0.9999980058502028,0.798505755206651,1
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,26297591.0,частичная оплата по счету №9 от date_aaac92e3774d cогласно договора подряда №3-тор от 19.05.17г сумма 26297591-00 в т.ч. ндс (20%) 4382932-00,0.0,0.9999980058502028,0.5165910835264188,0.7963266105605178,1
2019-12-11,d877722ca4e40f98,9d8f54ae3b88911b,20000000.0,возврат по договору беспроцентного займа №ти-17/161019 от 16.10.19г сумма 20000000-00 без налога (ндс),0.0,0.9999980058502028,0.35105469776259585,0.7955603390742794,1
2021-07-16,d877722ca4e40f98,365a9e654bc3d301,18900000.0,оплата по сч.№ 33 от 16.07.21 согласно договора № 16-21 реконструкция теплотрассы и монтаж электрич сетей сумма 18900000-00 без налога (ндс),0.0,0.9999980058502028,,0.7953835536847093,1
2021-06-30,80799e1a6646b6dc,d877722ca4e40f98,17297150.0,"acc_cd27e0d43c60;ст. 176 нк рф, год: 2021 решение n 43021 от date_c360e6c8d02f наименование: ооо ""инкриз"", инн: inn_d877722ca4e4, кпп: 650101001 наименование но: межрайонная инспекция федеральной налоговой службы n 1 по",0.0,0.31607673838290173,0.9999980058502028,0.7952359451726286,1
2019-10-16,9d8f54ae3b88911b,d877722ca4e40f98,17000000.0,оплата по договору беспроцентного займа №ти-17/161019 от 16.10.19 сумма 17000000-00 без налога (ндс),0.0,0.35105469776259585,0.9999980058502028,0.7951889099864375,1
2019-10-16,d877722ca4e40f98,6931e23e98703aa9,17000000.0,оплата по счету № 20 от date_aa5e303a04cd аванс по договору №3-тор от 19.05.2017г сумма 17000000-00 в т.ч. ндс (20%) 2833333-33,0.0,0.9999980058502028,0.5165910835264188,0.7950727389827201,1
2019-12-11,8d9e0be733f77f1c,d877722ca4e40f98,20000000.0,поступление займа от учредителя 20000000.00,0.0,0.5725082151697858,0.9999980058502028,0.7949573959365994,1
2021-07-16,8d9e0be733f77f1c,d877722ca4e40f98,18900000.0,частичный возврат суммы покрытия по аккредитиву № 8824s2107000h от 07.07.2021г в связи с изменением суммы аккредитива на основании заявления № 11 от 16.07.2021г..,0.0,0.5725082151697858,0.9999980058502028,0.7945796295011361,1
2020-01-09,306735212f8e109d,d877722ca4e40f98,11000000.0,перечисление денежных средств по договору № юи-1/090120 от date_f31a864d8516 г. сумма 11000000-00 без налога (ндс),0.0,,0.9999980058502028,0.7940073085978591,1
2020-12-19,032f0b4d2498f263,d877722ca4e40f98,10000000.0,выдача займа по договору займа № 1 от 17.12.2020г 10000000-00 р. без налога (ндс),0.0,,0.9999980058502028,0.7937486043404505,1
2020-02-13,d877722ca4e40f98,6931e23e98703aa9,10000000.0,оплата по счету № 22 от date_c40a7e09c1d0 устройство монолитной плиты пола согласно договора №3-тор от 19.05.17г сумма 10000000-00 в т.ч. ндс (20%) 1666666-67,0.0,0.9999980058502028,0.5165910835264188,0.7935975820356177,1
2020-03-16,d877722ca4e40f98,6931e23e98703aa9,10000000.0,оплата по счету № 22 от date_c40a7e09c1d0 устройство монолитной плиты пола согласно договора №3-тор от 19.05.17г сумма 10000000-00 в т.ч. ндс (20%) 1666666-67,0.0,0.9999980058502028,0.5165910835264188,0.7935975820356177,1
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,9892831.0,оплата по счету № 20 от date_12a233039899 благоустройство.устройство проездов и тротуаров cогласно договора подряда №3-тор от 19.05.17г сумма 9892831-00 в т.ч. ндс (20%) 1648805-00,0.0,0.9999980058502028,0.5165910835264188,0.7935334844253006,1
2022-08-02,53446acfe008dbf1,d877722ca4e40f98,9220689.82,перечисление займа по договору займа от 20 июля 2022г. без ндс,0.0,,0.9999980058502028,0.7935283756934628,1
2021-07-01,d877722ca4e40f98,6931e23e98703aa9,9472656.0,"оплата по счету № 9 от date_0816c1dafa53 устройство металлокаркаса.огнезащита металлоконструкций, согласно договора подряда №3-тор от 19.05.17г сумма 9472656-00 в т.ч. ндс (20%) 1578776-00",0.0,0.9999980058502028,0.5165910835264188,0.7933924450874865,1
2020-01-10,d877722ca4e40f98,3a9c5401f637dd8d,9447532.0,возврат займа по договору ои-1/021018 от date_a646370c6975 сумма 9447532-00 без налога (ндс),0.0,0.9999980058502028,,0.7933620021714962,1
2020-09-28,d877722ca4e40f98,6931e23e98703aa9,9000000.0,оплата по счету № 7 от date_0abafb076672 устройство кровли согласно договора подряда №3-тор от 19.05.2017г сумма 9000000-00 в т.ч. ндс (20%) 1500000-00,0.0,0.9999980058502028,0.5165910835264188,0.7932070438465979,1
2021-07-08,d877722ca4e40f98,6931e23e98703aa9,8843574.0,оплата по счету № 13 от date_3e84c9d36c93 благоустройство. устройство проездов и тротуаров. cогласно договора подряда №3-тор от 19.05.17г сумма 8843574-00 в т.ч. ндс (20%) 1473929-00,0.0,0.9999980058502028,0.5165910835264188,0.793136217805958,1
2020-06-30,d877722ca4e40f98,6931e23e98703aa9,8000000.0,оплата по счету № 4 от date_de9a487d4639 устройство кровли по договору подряда №3-тор от 19.05.17г сумма 8000000-00 в т.ч. ндс (20%) 1333333-33,0.0,0.9999980058502028,0.5165910835264188,0.7928408722177048,1
2020-01-17,33f2ff7ebb54463b,d877722ca4e40f98,6000000.0,перевод денежных средств по договору № си-2/170120 от 17.01.2020г. сумма 6000000-00 без налога (ндс),0.0,,0.9999980058502028,0.7923620498371322,1
2020-04-27,d877722ca4e40f98,6931e23e98703aa9,6564418.0,оплата по счету № 22 от date_c40a7e09c1d0 устройство монолитной плиты пола согласно договора №3-тор от 19.05.17г сумма 6564418-00 в т.ч. ндс (20%) 1094069-66,0.0,0.9999980058502028,0.5165910835264188,0.7922808020957173,1
2021-07-20,8d9e0be733f77f1c,d877722ca4e40f98,8479920.0,возврат неиспользованной суммы по аккредитиву № 8824s2107000h от date_95feb18422fb в связи с заявлением на отзыв аккредитива от date_68f38ec7c834.,0.0,0.5725082151697858,0.9999980058502028,0.7921799766256878,1
