inn,total_txn,eligible_in_debit,eligible_in_credit
032f0b4d2498f263,14,False,True
035fab081fc0922f,36,False,True
0c22384d93788af3,12,False,True
0ce0b6eeec2d8629,10,False,True
1b21a7645f64d170,40,False,True
1c3f31b0b8c13d69,10,False,False
1d83fd5f5fefc19f,12,False,True
225acb9ed4f34af6,14,False,True
365a9e654bc3d301,14,False,True
3a9c5401f637dd8d,10,False,True
40149916b115417d,15,False,True
41face6c4b94dd88,33,False,True
480b91025f5be8d0,25,False,True
524ef6bc49f42742,13,False,True
5ae9eeb0d29bc5c0,43,True,False
6290b8d67943ece5,36,False,True
659207c64fee1c66,61,True,False
6931e23e98703aa9,256,False,True
6ef5667d7851dcbc,21,True,False
7ad54077510c09e4,32,True,False
80799e1a6646b6dc,181,False,True
85ee5df9d37a27a6,15,False,True
89e588b9010869a4,16,True,False
8d9e0be733f77f1c,1206,True,True
917804652432403b,15,False,True
9d8f54ae3b88911b,39,True,False
a4bb2adbd377d7b6,31,False,True
a982dff7a672f998,13,False,True
ac31ae518119510a,32,False,True
ad57c94e5b8df8f6,23,True,False
ca3891c167141f4d,43,False,True
cb32b2a9fe28f462,13,False,False
cf603eadad6f36c6,25,False,True
d877722ca4e40f98,2712,True,True
ed18d013d231f2d0,12,False,True
eed8b1f54ed4366c,82,False,True
nan,14,True,False
