debit_tx_count,debit_amount_sum,debit_amount_mean,debit_amount_std,debit_roll_cnt_30d_mean,debit_roll_mean_30d_mean,debit_roll_std_30d_mean,debit_spike_ratio_7d_mean,debit_tx_rate_spike_7d_mean,debit_vol_30d_mean,credit_tx_count,credit_amount_sum,credit_amount_mean,credit_amount_std,credit_roll_cnt_30d_mean,credit_roll_mean_30d_mean,credit_roll_std_30d_mean,credit_spike_ratio_7d_mean,credit_tx_rate_spike_7d_mean,credit_vol_30d_mean,self_tx_count,total_tx_count,out_unique,in_unique,fan_out_ratio,fan_in_ratio,in_out_ratio,IsolationForest_score,LocalOutlierFactor_score,OneClassSVM_score,EllipticEnvelope_score,ensemble_score,anomaly_flag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,124364.21,3454.5613888888893,1891.5433016230845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.027777777006172864,124364210001.0,0.0,1.110223024255378e-10,0.9139575908181736,0.009526071838099384,0.23087091569182383,0
1.0,2357825.15,2357825.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5317691.260000001,136351.05794871796,778110.8614545321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,1.0,0.9999990000010001,0.025641024983563465,2.2553374070162695,0.19702015922766639,1.110223024255378e-10,0.9915301661150042,0.999997339128874,0.5471369161456417,0
8.0,50352.0,6294.0,118.79393923933996,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7645440.0,305817.6,45650.729209217825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,0.12499998437500197,0.03999999840000006,151.83984747078884,0.04588067407911042,1.110223024255378e-10,0.37988635170223084,0.9998779035584712,0.35641123236270866,0
7.0,6050000.0,864285.7142857143,780680.4114116767,0.0,0.0,0.0,0.0,0.0,0.0,18.0,593325.51,32962.528333333335,95540.01603166253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.1428571224489825,0.055555552469135974,0.09807033223155404,0.053856709568526166,1.110223024255378e-10,0.005361854643078403,0.9999166306829864,0.26478379875140334,0
43.0,11100000.0,258139.53488372092,391263.2521045103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.023255813412655504,0.0,9.009009009008196e-14,0.1367012189710539,1.110223024255378e-10,0.7758159082028141,0.9999931326692751,0.47812756498854136,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,180669.65,5018.601388888888,2387.8080795983497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.027777777006172864,180669650001.0,0.0026807350905407425,1.110223024255378e-10,0.9124848328993688,0.009731808801929821,0.23122434422571542,0
60.0,18200000.0,303333.3333333333,173661.14156712053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,1.0,0.016666666388888893,0.9999990000010001,0.005494505494560138,0.18395656091514212,1.110223024255378e-10,0.9915301392765165,0.9998961817199573,0.5438457205056596,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,393427343.0,1536825.55859375,4968876.800618378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,1.0,0.0,0.003906249984741211,393427343000001.0,0.5165910835264188,0.0,0.9792166549462925,0.9999988383242495,0.6239516441992402,0
20.0,23200000.0,1160000.0,321836.8334551237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.04999999750000012,0.9999990000010001,0.12931034482762374,0.2365360432289725,1.110223024255378e-10,0.9999512594442181,0.9999966609899716,0.5591209909435462,0
24.0,6900000.0,287500.0,483272.2700057616,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3354940.76,419367.595,733932.9827634913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0,0.041666664930555625,0.12499998437500197,0.48622329855079904,0.07509512282333654,1.110223024255378e-10,0.0,0.9989948538343654,0.26852249419218105,0
9.0,76988367.0,8554263.0,5258938.0601606015,0.0,0.0,0.0,0.0,0.0,0.0,172.0,3239357.19,18833.47203488372,120986.91354108785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,1.0,1.0,0.11111109876543349,0.005813953454570038,0.04207593064028696,0.31607673838290173,0.0,0.9781145768884884,0.9999997370627612,0.5735477630835378,0
223.0,353829010.09,1586677.1752914798,9526327.95000904,0.0,0.0,0.0,0.0,0.0,0.0,983.0,113293166.22,115252.45800610376,3191978.600097571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,1.0,1.0,0.004484304912626435,0.001017293996930525,0.32019185253120824,0.5725082151697858,1.110223024255378e-10,0.997297943657107,0.9999996726564108,0.6424514578985815,0
32.0,49848836.96,1557776.155,3764796.0795126627,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22802791.9,3257541.6999999997,7394969.11121761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,0.031249999023437534,0.1428571224489825,0.45743879477665833,0.35105469776259585,1.110223024255378e-10,0.9907002404329527,0.9999870237009642,0.5854354905018837,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,35187.03,1135.0654838709677,2858.637822630257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.032258063475546335,35187030001.0,0.003478000389952481,1.110223024255378e-10,0.9131029231562917,0.047024652066994986,0.24090139393106538,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,137516.13,4297.3790625,7427.872470023388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.031249999023437534,137516130001.00003,0.0021884557243258998,1.110223024255378e-10,0.910123016099562,0.03695456402739327,0.23731650899057588,0
23.0,24516000.0,1065913.043478261,580248.0592614504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.04347825897920613,0.0,4.0789688366779213e-14,0.14335923707120396,1.110223024255378e-10,0.41331419306039163,0.9999931326717723,0.3891666407285975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16729.01,389.04674418604645,275.34810913357114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.023255813412655504,16729010001.0,0.008693361988195794,1.110223024255378e-10,0.9172599964539854,0.0,0.23148833963830087,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,147441.04,5897.6416,2636.9762585008866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.03999999840000006,147441040001.00003,0.01439959429611496,1.110223024255378e-10,0.9012838892517213,0.12843904400925601,0.26103063191702863,0
2152.0,677167810.22,314669.0567936803,2878643.407184024,12.62360594795539,664179.9735976354,1901684.659163217,1.2714074872458778,1.136342411937153,2.917723807203852,560.0,680330652.73,1214876.1655892858,6257953.83197562,10.316071428571428,551491.8186244048,1452199.8615060356,1.2920623236454074,1.2470075304674786,2.6238681592285586,24.0,2688.0,97.0,38.0,0.04507434942143385,0.06785714273596939,1.0046706923487287,0.9999980058502028,3.330669072766134e-10,0.9773336213281998,0.9999999414811505,0.7443328922481549,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1228693.35,14984.06524390244,19414.387042850223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,1.0,0.0,0.012195121802498515,1228693350001.0002,0.10055457067888315,0.0,0.8747602004599314,0.9177866952308409,0.47327536659241387,0
