txn_id,date,inn,side,amount,purpose,iforest_score_credit
,2021-07-06,8d9e0be733f77f1c,credit,100000000.0,формирование покрытия по внутрироссийскому аккредитиву № 8824s2107000h на основании заявления № 4 от 06.07.2021г,0.9999999982566306
,2021-07-09,6931e23e98703aa9,credit,69500000.0,"окончательная оплата по счету №9 от date_aaac92e3774d, согласно договора подряда №3-тор от 19.05.17г сумма 69500000-00 в т.ч. ндс (20%) 11583333-00",0.9999999982108824
,2022-08-02,1b21a7645f64d170,credit,4869203.94,по решению о взыскании № 5593 от date_11c362601502 на основании ст.46 нк рф от 31.07.1998г. № 146-фз,0.9999999980968718
,2021-07-20,80799e1a6646b6dc,credit,1214381.15,налог на имущество организаций за 1 квартал 2021 года,0.9999999980362761
,2021-03-31,480b91025f5be8d0,credit,400000.0,частичный возврат займа по договору №2-ои/150917 от date_6948caa8d709 сумма 400000-00 без налога (ндс),0.9999999979734177
,2021-10-22,6290b8d67943ece5,credit,16860.64,расчет уволнение 21г для зачисления на счет таранова константина анатольевича сумма 16860-64 без налога (ндс),0.9999999979622846
,2020-02-28,ac31ae518119510a,credit,45000.0,оплата по счету № 50 от date_d0e5c2a23d6d инсталляционные работы по адресу:г.южно-сахалинск ул.емельянова д.2/3 сумма 45000-00 без налога (ндс),0.9999999979478118
,2019-12-25,a4bb2adbd377d7b6,credit,16527.0,оплата по сч.№ 4995 от 19.12.19г монтаж и наладка тревожной кнопки по договору №149 от 19.12.19 сумма 16527-00 без налога (ндс),0.999999997929485
,2021-10-22,035fab081fc0922f,credit,11828.69,расчет уволнение для зачисления на счет ермошкина михаила юрьевича сумма 11828-69 без налога (ндс),0.9999999978966211
,2024-02-16,eed8b1f54ed4366c,credit,143502.07,оплата по договору электроэнергия по дог.№112458 от 03.03.17 доплата за январь 24г сумма 143502-07 в т.ч. ндс (20%) 23917-01,0.9999999978417196
,2020-12-21,1d83fd5f5fefc19f,credit,2189587.9,оплата по договору 02-скк/тп/17 от date_88bd5426f2c8 теплоснабжение сумма 2189587-90 в т.ч. ндс (20%) 364931-32,0.9999999977375194
,2021-07-16,365a9e654bc3d301,credit,18900000.0,оплата по сч.№ 33 от 16.07.21 согласно договора № 16-21 реконструкция теплотрассы и монтаж электрич сетей сумма 18900000-00 без налога (ндс),0.9999999977251861
