txn_id,date,inn,side,amount,purpose,iforest_score_debit
,2021-07-06,8d9e0be733f77f1c,debit,100000000.0,выдача кредита по договору n600210017 от 24 июня 2021 г. согласно распоряжения кредитного отдела n 45997949 от date_f71bf3d6bd61. ндс нет.,0.9999999981184752
,2019-01-15,ad57c94e5b8df8f6,debit,3400000.0,перевод денежных средств по договору займа № чи-1/271218 от 27.12.2018г. сумма 3400000-00 без налога (ндс),0.9999999978954964
,2019-10-16,9d8f54ae3b88911b,debit,17000000.0,оплата по договору беспроцентного займа №ти-17/161019 от 16.10.19 сумма 17000000-00 без налога (ндс),0.9999999977983253
,2021-05-21,5ae9eeb0d29bc5c0,debit,2350000.0,перевод денежных средств по договору № пи-1/281220 от date_8425413630fa г. сумма 2350000-00 без налога (ндс),0.999999997683373
,2021-11-26,nan,debit,3500000.0,взнос займа по договору №34 от date_e98770c5fdf8 за займодавца хо сон дя,0.9999999975950361
,2021-06-16,7ad54077510c09e4,debit,1850000.0,выдача займа по договору №3-си/160621 от date_31f6fed8f2d6 сумма 1850000-00 без налога (ндс),0.9999999974446169
,2019-01-14,d877722ca4e40f98,debit,6000000.0,оплата по счету № 2 от date_168616af7e96 аванс по договору №3-тор от 19.05.17г устройство монолитной железобетонной плиты пола сумма 6000000-00 в т.ч. ндс (20%) 1000000-00,0.9999999973336738
,2019-05-07,6ef5667d7851dcbc,debit,1600000.0,перевод денежных средств по договору № ли-1/220419 от 22.04.2019г. сумма 1600000-00 без налога (ндс),0.9999999967040123
,2019-03-28,89e588b9010869a4,debit,1000000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-15/250119 от 25.01.19г сумма 1000000-00 без налога (ндс),0.9999999946465683
,2019-01-25,89e588b9010869a4,debit,1000000.0,оплата по договор_aa2bdccd4f22 беспроцентного займа №пи-15/250119 от 25.01.19г сумма 1000000-00 без налога (ндс),0.9999999946465683
,2020-10-07,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-10-23,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-11-10,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-11-06,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-09-08,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-11-03,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-09-18,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2020-11-20,659207c64fee1c66,debit,300000.0,перевод денежных средств по договору № ки-1/110620 от 11.06.2020г. сумма 300000-00 без налога (ндс),0.9999999853886934
,2021-07-06,d877722ca4e40f98,debit,100000000.0,формирование покрытия по внутрироссийскому аккредитиву № 8824s2107000h на основании заявления № 4 от 06.07.2021г,0.967194265111605
,2019-01-09,d877722ca4e40f98,debit,3000000.0,оплата по счету № 28 от date_9f241b636025 по договору №3-тор от 19.05.18г аванс сумма 3000000-00 в т.ч. ндс (18%) 457627-12,0.966633291641038
,2019-01-15,d877722ca4e40f98,debit,3400000.0,оплата по счету № 2 от date_168616af7e96 аванс по договору №3-тор от 19.05.17г устройство монолитной железобетонной плиты пола сумма 3400000-00 в т.ч. ндс (20%) 566666-67,0.9659778708861736
,2019-01-11,d877722ca4e40f98,debit,3000000.0,оплата по счету № 28 от date_9f241b636025 по договору №3-тор от 19.05.18г аванс сумма 3000000-00 в т.ч. ндс (18%) 457627-12,0.9624712500626211
