company_name,company_url,section_title,section_texts
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,ОГРН,"1187746905004, от 30 октября 2018 г."
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,ИНН/КПП,"9705124940, 773601001"
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Дата регистрации,30.10.2018
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Уставный капитал,50 000 000 руб.
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Юридический адрес,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Руководитель,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Среднесписочная численность,░░ сотрудников в ░░░░ 35
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Среднемесячная зарплата,░░░░░░░ руб в ░░░░ году
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Специальный налоговый режим,░░░░░░░░░░
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Реестр МСП,не входит
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Основной вид деятельности,Деятельность в области права (69.10)
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Налоговый орган,Инспекция ФНС России № 36 по г.Москве
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Коды статистики,"ОКПО 34096098, ОКАТО 45293554000, ОКТМО 45397000000, ОКФС 16, Частная собственность, ОКОГУ 4210014, Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно, ОКОПФ 12300, Общества с ограниченной ответственностью"
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Контакты,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Банкротство,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Банковские счета,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Обеспечительные меры,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Санкционные списки,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Документы для госрегистрации,
"ООО ""Сбер Лигал""",https://www.rusprofile.ru/id/11603844,Черный список ЦБ,
