list_name,field_name,field_value,entity_url
"ООО ""ИНКРИЗ""",Полное наименование,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНКРИЗ""",https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Уставный капитал,"12 500,00 ₽",https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Адрес по данным ЕГРЮЛ,"194214, Г.САНКТ-ПЕТЕРБУРГ, ПР-КТ ЭНГЕЛЬСА, Д. 71, ЛИТЕР А, 310, ПОМЕЩЕНИЕ 137",https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Дата регистрации,15.04.2015,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Дата прекращения деятельности,03.04.2025,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Статус,Ликвидировано на основании решения суда о признании его несостоятельным (банкротом),https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Правовая форма (ОКОПФ),Общества с ограниченной ответственностьюКод 12300 Версия ОК 028-2012,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Вид деятельности (ОКВЭД),Строительство жилых и нежилых зданийКод 41.20 Версия ОК 029-2014,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",1345586 от 07.03.2025,Финальный отчет. Конкурсное производство,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",17251214 от 05.03.2025,Сообщение о судебном акте. о завершении конкурсного производства,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",16127473 от 22.11.2024,Сообщение о результатах проведения собрания кредиторов,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",ИНН,890202660200,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Должность,Конкурсный управляющий,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",Дата внесения данных в ЕГРЮЛ,06.02.2022,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",,1345586 от 07.03.2025 Финальный отчет. Конкурсное производство 17251214 от 05.03.2025 Сообщение о судебном акте 16127473 от 22.11.2024 Сообщение о результатах проведения собрания кредиторов,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",,06533533 от 24.03.2021 Намерение кредитора обратиться в суд с заявлением о банкротстве,https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",ПП-2032,"Дата торгов 03.06.2024 00:00 — 02.08.2024 00:00 Электронная торговая площадка ""Регион""",https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",ОАОФЦП-1916,"Дата торгов 26.02.2024 00:00 — 05.04.2024 00:00 Электронная торговая площадка ""Регион""",https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ""",ОАОФЦП-1863,"Дата торгов 25.12.2023 00:00 — 15.02.2024 00:00 Электронная торговая площадка ""Регион""",https://fedresurs.ru/companies/14eb895d-5719-41f6-be41-82f6c90dd984
"ООО ""ИНКРИЗ ВЭЙ РУС""",Полное наименование,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНКРИЗ ВЭЙ РУС""",https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
"ООО ""ИНКРИЗ ВЭЙ РУС""",Уставный капитал,"3 120 000,00 ₽",https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
"ООО ""ИНКРИЗ ВЭЙ РУС""",Адрес по данным ЕГРЮЛ,"121099, Г.МОСКВА, УЛ. КОМПОЗИТОРСКАЯ, Д. 17, ЭТАЖ 6 ПОМ. I КОМ. 18, 19",https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
"ООО ""ИНКРИЗ ВЭЙ РУС""",Дата регистрации,19.03.2015,https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
"ООО ""ИНКРИЗ ВЭЙ РУС""",Дата прекращения деятельности,22.12.2023,https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
"ООО ""ИНКРИЗ ВЭЙ РУС""",Статус,Ликвидировано на основании решения суда о признании его несостоятельным (банкротом),https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
"ООО ""ИНКРИЗ ВЭЙ РУС""",Правовая форма (ОКОПФ),Общества с ограниченной ответственностьюКод 12300 Версия ОК 028-2012,https://fedresurs.ru/companies/15ed3cf4-5bc5-4cd3-94b9-d2bb34016f25
